ip_address,Timestamp,Event,TimeSpent,Link,Section
127.0.0.1,2024-10-07 16:16:39,link_click,,https://bhuvan.nrsc.gov.in/,
127.0.0.1,2024-10-07 16:16:45,link_click,,https://www.nrsc.gov.in/,
127.0.0.1,2024-10-07 16:16:50,session_end,13.846,,
127.0.0.1,2024-11-12 11:43:46,section_view,,,About Bhuvan
127.0.0.1,2024-11-12 11:43:46,section_view,,,Key Features
127.0.0.1,2024-11-12 11:43:46,section_view,,,Archive Information
127.0.0.1,2024-11-12 11:43:46,section_view,,,Key Features
127.0.0.1,2024-11-12 11:43:46,section_view,,,About Bhuvan
127.0.0.1,2024-11-12 11:43:46,section_view,,,Useful Links
ation
127.0.0.1,2024-11-12 11:43:46,section_view,,,Useful Links
127.0.0.1,2024-11-12 11:43:49,link_click,,https://www.isro.gov.in/,
127.0.0.1,2024-11-12 11:43:55,section_view,,,Archive Information
127.0.0.1,2024-11-12 11:43:55,section_view,,,Key Features
127.0.0.1,2024-11-12 11:43:55,section_view,,,Useful Links
127.0.0.1,2024-11-12 11:43:55,section_view,,,Key Features
127.0.0.1,2024-11-12 11:43:55,section_view,,,About Bhuvan
127.0.0.1,2024-11-12 11:43:55,section_view,,,Archive Information
127.0.0.1,2024-11-12 11:43:55,section_view,,,Useful Links
127.0.0.1,2024-11-12 11:43:57,session_end,12.015,,
